"ID"	"label"
1	"["
2	"'"
3	"序"
4	"音"
5	"義"
6	"經"
7	"天"
8	"冊"
9	"測"
10	"革"
11	"反"
12	"說"
13	"文"
14	"曰"
15	"𠕋"
16	"符"
17	"命"
18	"也"
19	"謂"
20	"上"
21	"聖"
22	"信"
23	"教"
24	"以"
25	"授"
26	"帝"
27	"位"
28	"字"
29	"或"
30	"從"
31	"竹"
32	"古"
33	"為"
34	"形"
35	"。"
36	","
37	"化"
38	"權"
39	"輿"
40	"造"
41	"作"
42	"變"
43	"尒"
44	"雅"
45	"始"
46	"言"
47	"地"
48	"万"
49	"物"
50	"之"
51	"道"
52	"日"
53	"月"
54	"星"
55	"辰"
56	"陰"
57	"陽"
58	"易"
59	"乾"
60	"是"
61	"龍"
62	"繫"
63	"象"
64	"絃"
65	"計"
66	"竟"
67	"有"
68	"神"
69	"龜"
70	"負"
71	"園"
72	"而"
73	"出"
74	"舜"
75	"感"
76	"黃"
77	"見"
78	"辭"
79	"孔"
80	"子"
81	"述"
82	"十"
83	"翼"
84	"二"
85	"觀"
86	"乎"
87	"察"
88	"時"
89	"人"
90	"成"
91	"下"
92	"男"
93	"女"
94	"君"
95	"臣"
96	"父"
97	"尊"
98	"卑"
99	"八"
100	"千"
101	"歲"
102	"按"
103	"王"
104	"甲"
105	"記"
106	"云"
107	"皇"
108	"氏"
109	"治"
110	"一"
111	"年"
112	"九"
113	"四"
114	"五"
115	"百"
116	"本"
117	"三"
118	"皆"
119	"臨"
120	"截"
121	"區"
122	"毛"
123	"詩"
124	"傳"
125	"整"
126	"齊"
127	"海"
128	"外"
129	"率"
130	"服"
131	"域"
132	"司"
133	"馬"
134	"相"
135	"如"
136	"封"
137	"禪"
138	"書"
139	"繼"
140	"韶"
141	"夏"
142	"崇"
143	"號"
144	"諡"
145	"略"
146	"可"
147	"者"
148	"七"
149	"管"
150	"昔"
151	"太"
152	"山"
153	"梁"
154	"家"
155	"小"
156	"善"
157	"斧"
158	"迷"
159	"忍"
160	"思"
161	"益"
162	"無"
163	"生"
164	"諸"
165	"法"
166	"來"
167	"故"
168	"滅"
169	"去"
170	"因"
171	"緣"
172	"住"
173	"異"
174	"心"
175	"續"
176	"纏"
177	"蓋"
178	"貪"
179	"恚"
180	"惛"
181	"沉"
182	"睡"
183	"眠"
184	"掉"
185	"舉"
186	"惡"
187	"疑"
188	"嵓"
189	"西"
190	"峙"
191	"鷲"
192	"巖"
193	"靈"
194	"廣"
195	"立"
196	"彼"
197	"峯"
198	"亭"
199	"然"
200	"止"
201	"於"
202	"大"
203	"高"
204	"視"
205	"老"
206	"中"
207	"今"
208	"佛"
209	"過"
210	"內"
211	"超"
212	"空"
213	"混"
214	"胡"
215	"沌"
216	"未"
217	"分"
218	"共"
219	"同"
220	"氣"
221	"皃"
222	"此"
223	"花"
224	"嚴"
225	"門"
226	"量"
227	"虛"
228	"又"
229	"渾"
230	"承"
231	"叨"
232	"他"
233	"勞"
234	"韻"
235	"普"
236	"稱"
237	"忝"
238	"自"
239	"謙"
240	"狠"
241	"厚"
242	"扆"
243	"依"
244	"豈"
245	"鄭"
246	"玄"
247	"注"
248	"禮"
249	"屏"
250	"風"
251	"玉"
252	"飾"
253	"珠"
254	"藂"
255	"施"
256	"戶"
257	"牖"
258	"障"
259	"蔽"
260	"晏"
261	"諫"
262	"安"
263	"其"
264	"遠"
265	"近"
266	"清"
267	"怗"
268	"河"
269	"禎"
270	"陟"
271	"盈"
272	"祥"
273	"蒼"
274	"頡"
275	"篇"
276	"牒"
277	"貝"
278	"北"
279	"盖"
